STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1995,,84.800003,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1996,,84.699997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1997,,84,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1998,,83.900002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,1999,,82.699997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2000,,81,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2001,,78.699997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2002,,78,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2003,,77.199997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2004,,76.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2005,,75.699997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2006,,74.300003,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2007,,70.800003,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2008,,68.300003,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2009,,68.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2010,,68.199997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2011,,67.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2012,,67.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2013,,67.699997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2014,,67.300003,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2015,,67,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2016,,66.699997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2017,,66.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2018,,65.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,SWE,Sweden,TUD,Trade union density,PT_SAL,Percentage of employees,2019,,65.199997,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1960,,45.299999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1961,,47.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1962,,48,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1963,,47.799999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1964,,48.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1965,,48.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1966,,48.299999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1967,,48.799999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1968,,49.599998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1969,,51.299999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1970,,53.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1971,,53.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1972,,53.599998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1973,,53.299999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1974,,53.900002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1975,,55.299999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1976,,56.299999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1977,,57,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1978,,57.599998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1979,,57.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1980,,57.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1981,,56.599998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1982,,56.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1983,,57.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1984,,57,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1985,,54.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1986,,51.599998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1987,,50.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1988,,50.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1989,,51.799999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1990,,51.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1991,,51.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1992,,51.299999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1993,,50,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1994,,48.599998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1995,,47.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1996,,44.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1997,,44.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1998,,40.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,1999,,38.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2000,,35.900002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2001,,35,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2002,,35.099998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2003,,34.900002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2004,,33.599998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2005,,32.400002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2006,,31.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2007,,30.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2008,,30.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2009,,31.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2010,,31.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2011,,31.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2012,,30.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2013,,28.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2014,,26.299999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2015,,25.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2016,,23.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2017,,24.299999,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2018,,24.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2019,,25.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,IRL,Ireland,TUD,Trade union density,PT_SAL,Percentage of employees,2020,,26.200001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,ITA,Italy,TUD,Trade union density,PT_SAL,Percentage of employees,1960,,28.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,ITA,Italy,TUD,Trade union density,PT_SAL,Percentage of employees,1961,,28.700001,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TUD_CBC@DF_TUD(1.0),Trade union density,I,ITA,Italy,TUD,Trade union density,PT_SAL,Percentage of employees,1962,,29.200001,,A,Normal value,0,Units,1,One
